,names,DominantPollutant,aqi,PM10,dew,humidity,NO2,PM2,SO2,CO,O3,URL,Latitude,Longitude,datetime,ptu_id_1,ptu_id_2,ptu_id_3,ptu_id_4,ptu_id_5,ptu_id_6,label_1,label_2,label_3,label_4,label_5,label_6,ptu_ids,sample_values,ptu_labels
0,Abidjan,pm25,63,0,26.0,88.0,0.0,63,0.0,0.0,0.0,https://api.waqi.info/feed/Abidjan/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,5.36,-4.0083,2020-04-21 22:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,63,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
1,ACCRA,pm25,53,0,25.0,79.0,0.0,53,0.0,0.0,0.0,https://api.waqi.info/feed/ACCRA/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,5.580642,-0.170724,2020-04-21 22:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,53,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
2,Adana,pm10,20,20,13.0,53.0,16.0,0,6.5,1.2,16.1,https://api.waqi.info/feed/Adana/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,37.0040545100691,35.3440100793125,2020-04-15 10:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[1.2,16.0,16.1,20,0,6.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
3,ADDIS ABABA,pm25,76,0,12.0,77.0,0.0,76,0.0,0.0,0.0,https://api.waqi.info/feed/ADDIS%20ABABA/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,9.058498,38.761642,2020-04-22 01:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,76,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
4,Adelaide,pm25,27,25,0.0,94.0,3.2,27,0.0,0.9,0.0,https://api.waqi.info/feed/Adelaide/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,-34.929051,138.601092,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.9,3.2,0.0,25,27,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
5,Agra,pm25,157,0,17.0,42.0,26.2,157,2.1,0.0,19.3,https://api.waqi.info/feed/Agra/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,27.19865833,78.00598056,2020-04-21 21:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,26.2,19.3,0,157,2.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
6,Ahmadabad,pm25,102,80,19.0,51.064750000000004,7.0,102,4.7,5.2,3.7,https://api.waqi.info/feed/Ahmadabad/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,22.9987886,72.6029661,2020-04-22 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.2,7.0,3.7,80,102,4.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
7,Alexandria,o3,19,0,-1.0,25.0,1.0,14,0.1,0.1,19.1,https://api.waqi.info/feed/Alexandria/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,38.8577,-77.05922,2020-04-21 17:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,1.0,19.1,0,14,0.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
8,ALGIERS,pm25,53,0,10.0,87.0,0.0,53,0.0,0.0,0.0,https://api.waqi.info/feed/ALGIERS/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,36.7558,3.039114,2020-04-21 23:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,53,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
9,ALMATY,pm25,21,0,5.0,62.0,0.0,21,0.0,0.0,0.0,https://api.waqi.info/feed/ALMATY/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,43.222,76.851,2020-04-22 04:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,21,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
