city,Country,City Population
Abbotsford,Canada,
Abidjan,Ivory Coast,4396000
ACCRA,Ghana,2227000
Adana,Turkey,1730000
ADDIS ABABA,Ethiopia,3385000
Adelaide,Australia,1326000
Agra,India,1585000
Ahmadabad,India,5577000
Albuquerque,USA,
Alexandria,Egypt,4028000
ALGIERS,Algeria,3336000
ALMATY,Kazakhstan,1704000
AMMAN,Jordan,4008000
Amritsar,India,1132000
Anchorage,USA,
ANKARA,Turkey,5271000
Anshan,China,1529000
Arlington,USA,
Austin,USA,
BAGHDAD,Iraq,8765000
Baltimore,USA,
Bangalore,India,8444000
BANGKOK,Thailand,8281000
Baotou,China,2071000
Barcelona,Spain,1605000
BEIJING,China,18590000
Belem,Brazil,1440000
BELGRADE,Serbia,1166000
BERLIN,Germany,3671000
Bhopal,India,1745000
Birmingham,UK,1102000
BOGOTA,Colombia,8081000
Boise,USA,
Boston,USA,
BRASILIA,Brazil,2978000
Brisbane,Australia,2350000
BUCHAREST,Romania,2106000
BUDAPEST,Hungary,1760000
BUENOS AIRES,Argentina,2900000
Burnaby,Canada,
Bursa,Turkey,2340000
Busan,South Korea,3526000
Campinas,Brazil,1164000
Changchun,China,3815000
Changsha,China,4597000
Changzhou,China,3290000
Charleston,USA,
Charlotte,USA,
Chelyabinsk,Russia,1156000
Chengdu,China,10152000
Chennai,India,7088000
Chicago,USA,2720000
Cincinnati,USA,
Colorado Springs,USA,
CONAKRY,Guinea,1661000
COPENHAGEN,Denmark,1296000
Cordoba,Argentina,1587000
Daegu,South Korea,2522000
Daejon,South Korea,1507000
Dalian,China,5900000
Dallas,USA,1300000
Datong,China,1787000
DELHI,India,11035000
Denver,USA,
Des Moines,USA,
Detroit,USA,
DHAKA,Bangladesh,14543000
Dnipropetrovsk,Ukraine,979000
Durban,South Africa,595000
Eagle River,USA,
Ecatepec,Mexico,1687000
El Paso,USA,
Fairbanks,USA,
Fayetteville,USA,
Fort Wayne,USA,
Foshan,China,1410000
Fresno,USA,
Fukuoka,Japan,1551000
Fuzhou,China,4468000
Greenville,USA,
Guadalajara,Mexico,1495000
Guangzhou,China,11548000
Guarulhos,Brazil,1325000
Guiyang,China,3037000
Gwangju,South Korea,1494000
Haiphong,Vietnam,2103000
Hamburg,Germany,1787000
Handan,China,941000
Hangzhou,China,7082000
HANOI,Vietnam,3435000
Haora,India,1072000
Harbin,China,5282000
Harrisburg,USA,
Hartford,USA,
Hefei,China,3310000
Hiroshima,Japan,1196000
Ho Chi Minh,Vietnam,8426000
Hong Kong,China,7234800
Houston,USA,2296000
Hyderabad,India,6809000
Hyderabad,Pakistan,3429000
Incheon,South Korea,3002000
Indianapolis,USA,
Indore,India,1194000
Istanbul,Turkey,14657000
Izmir,Turkey,2848000
Jacksonville,USA,
Jacksonville,USA,
Jaipur,India,3046000
JAKARTA,Indonesia,9608000
Jeddah,Saudi Arabia,4276000
Jilin,China,1975000
Jinan,China,4694000
Johannesburg,South Africa,957000
KABUL,Afghanistan,3678000
Kanpur,India,2920000
Kansas City,USA,
Kaohsiung,Taiwan,2540000
Karachi,Pakistan,18000000
Kawasaki,Japan,1437000
KIEV,Ukraine,2900000
Kitakyushu,Japan,963000
Knoxville,USA,
Kobe,Japan,1537000
Kolkata,India,4497000
Kowloon,China,2204000
KUALA LUMPUR,Malaysia,1768000
Kunming,China,3891000
Kyoto,Japan,1475000
Lahore,Pakistan,10355000
Lancaster,USA,
Langley,Canada,
Lansing,USA,
Lanzhou,China,2177000
Las Vegas,USA,
Leon,Mexico,1578000
LIMA,Peru,9752000
LONDON,UK,8674000
Los Angeles,USA,3976000
Louisville,USA,
Lucknow,India,2817000
Ludhiana,India,1619000
Luoyang,China,1857000
MADRID,Spain,3141000
Manchester,USA,
MANILA,Philippines,12877000
Mashhad,Iran,3312000
Mecca,Saudi Arabia,1675000
Medan,Indonesia,2047000
Medellin,Colombia,2441000
Medina,Saudi Arabia,785000
Meerut,India,1309000
Melbourne,Australia,4641000
Mesa,USA,
Mexicali,Mexico,996000
MEXICO CITY,Mexico,8919000
Miami,USA,
Milan,Italy,1369000
Milwaukee,USA,
Minneapolis,USA,
Monterrey,Mexico,1131000
Montreal,Canada,1704000
MOSCOW,Russia,13197596
Mumbai,India,12400000
Munich,Germany,1450000
Nagoya,Japan,2283000
Nagpur,India,2405000
Nanchang,China,2357000
Nanjing,China,8460000
Nanning,China,4037000
Napoli,Italy,974000
Nashik,India,1487000
Nashville,USA,
New Orleans,USA,
New York,USA,8550000
Nezahualcoyotl,Mexico,1110000
Nizhny Novgorod,Russia,1251000
Novosibirsk,Russia,1567000
Oakland,USA,
Odessa,Ukraine,1016000
Oklahoma City,USA,
Omaha,USA,
Osaka,Japan,2668000
Ottawa,Canada,
Palembang,Indonesia,1708000
PARIS,France,2230000
Patna,India,1683000
Perth,Australia,1980000
Peshawar,Pakistan,982000
Philadelphia,USA,1567000
PHNOM PENH,Cambodia,1502000
Phoenix,USA,1563000
Pittsburgh,USA,
Portland,USA,
PRAGUE,Czech Republic,1280000
Puebla,Mexico,2500000
Pune,India,3124000
Qingdao,China,6188000
Qiqihar,China,1482000
QUITO,Ecuador,2671000
Raleigh,USA,
Rawalpindi,Pakistan,3189000
Richmond,USA,
RIYADH,Saudi Arabia,7506000
ROME,Italy,2877000
Salt Lake City,USA,
Salvador,Brazil,2913000
San Antonio,USA,1437000
San Diego,USA,1395000
San Francisco,USA,
San Jose,USA,
Santa Cruz,Bolivia,1640000
SANTIAGO,Chile,6158000
Sao Paulo,Brazil,12038000
Sapporo,Japan,1947000
Saskatoon,Canada,
Seattle,USA,
Sendai,Japan,1063000
Seongnam,South Korea,994000
Seoul,South Korea,10290000
Shanghai,China,24153000
Shenyang,China,6255000
Shenzhen,China,11908000
Shiraz,Iran,1461000
SINGAPORE,Singapore,5607000
SOFIA,Bulgaria,1260000
Soweto,South Africa,1271000
St Petersburg,Russia,5323000
STOCKHOLM,Sweden,936000
Suzhou,China,5468000
Sydney,Australia,5005000
Tabriz,Iran,1773000
Taichung,Taiwan,2520000
TAIPEI,Taiwan,2705000
Taiyuan,China,3212000
Tampa,USA,
Tangshan,China,3187000
TASHKENT,Uzbekistan,2310000
TBILISI,Georgia,1118000
TEHRAN,Iran,8847000
Thunder Bay,Canada,
Tianjin,China,12784000
Tijuana,Mexico,1697000
TOKYO,Japan,13617000
Toronto,Canada,2731000
TSHWANE,South Africa,2922000
Tucson,USA,
Tulsa,USA,
Ufa,Russia,1111000
Ulsan,South Korea,1163000
Urumqi,China,3550000
Valencia,Venezuela,1541000
Vancouver,Canada,
Varanasi,India,1201000
Vienna,Austria,1868000
WARSAW,Poland,1749000
Washington,USA,
Winnipeg,Canada,
Wuhan,China,10608000
Wuxi,China,3542000
